No,WorkCode,Total Request
1,EMB01-100,2
2,EMB01-200,2
3,EMB01-300,1
4,EMB01-400,1
5,EMB02-100,8
6,EMB02-200,0
7,EMB02-300,27
8,EMB03-100,4
9,CMB01-100,62
10,SNL01-100,5
11,SNL02-100,8
12,PRB01-100,1
13,PRB01-210,0
14,PRB01-220,0
15,PRB02-100,1
16,PRB02-200,1
17,PRB03-100,4
18,SBZ01-100,0
19,TRUST PAGE,0
20,CMB02-100,26
21,PROMO-PAGE,46
22,CMB03-100,45
23,MIDDLE BANNER,2
24,PROMO CORNER,3
25,HTML,21
26,EMB04-100,5
27,MMB01-100,7
28,MEB01-100,8
29,EMB05-100,3
